time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
   0|     0|0011000000111001|  0  |      0|   0   |    0|    1|       x|
   2|     0|1110110000010000|  0  |      0|   0   |12345|    2|       x|
   3|     0|0101101110100000|  0  |      0|   0   |12345|    3|   12345|
   4|     0|1110000111010000|  0  |      0|   0   |23456|    4|   12345|
   5|     0|0000001111101000|  0  |      0|   0   |23456|    5|   11111|
   6|     0|1110001100001000|  0  |  11111|   1   | 1000|    6|   11111|
   7|     0|0000001111101001|  0  |      0|   0   | 1000|    7|   11111|
   8|     0|1110001110011000|  0  |  11110|   1   | 1001|    8|   11111|
   9|     0|0000001111101000|  0  |      0|   0   | 1001|    9|   11110|
  10| 11111|1111010011010000|  0  |      0|   0   | 1000|   10|   11110|
  11| 11111|0000000000001110|  0  |      0|   0   | 1000|   11|   65535|
  12| 11111|1110001100000100|  0  |      0|   0   |   14|   12|   65535|
  13| 11111|0000001111100111|  0  |      0|   0   |   14|   14|   65535|
  14| 11111|1110110111100000|  0  |      0|   0   |  999|   15|   65535|
  15| 11111|1110001100001000|  0  |  65535|   1   | 1000|   16|   65535|
  16| 11111|0000000000010101|  0  |      0|   0   | 1000|   17|   65535|
  17| 11111|1110011111000010|  0  |      0|   0   |   21|   18|   65535|
  18| 11111|0000000000000010|  0  |      0|   0   |   21|   21|   65535|
  19| 11111|1110000010010000|  0  |      0|   0   |    2|   22|   65535|
  20| 11111|0000001111101000|  0  |      0|   0   |    2|   23|       1|
  21| 11111|1110111010010000|  0  |      0|   0   | 1000|   24|       1|
  22| 11111|1110001100000001|  0  |      0|   0   | 1000|   25|   65535|
  23| 11111|1110001100000010|  0  |      0|   0   | 1000|   26|   65535|
  24| 11111|1110001100000011|  0  |      0|   0   | 1000|   27|   65535|
  25| 11111|1110001100000100|  0  |      0|   0   | 1000|   28|   65535|
  26| 11111|1110001100000101|  0  |      0|   0   | 1000| 1000|   65535|
  27| 11111|1110001100000110|  0  |      0|   0   | 1000| 1000|   65535|
  28| 11111|1110001100000111|  0  |      0|   0   | 1000| 1000|   65535|
  29| 11111|1110101010010000|  0  |      0|   0   | 1000| 1000|   65535|
  30| 11111|1110001100000001|  0  |      0|   0   | 1000| 1001|       0|
  31| 11111|1110001100000010|  0  |      0|   0   | 1000| 1002|       0|
  32| 11111|1110001100000011|  0  |      0|   0   | 1000| 1000|       0|
  33| 11111|1110001100000100|  0  |      0|   0   | 1000| 1000|       0|
  34| 11111|1110001100000101|  0  |      0|   0   | 1000| 1001|       0|
  35| 11111|1110001100000110|  0  |      0|   0   | 1000| 1002|       0|
  36| 11111|1110001100000111|  0  |      0|   0   | 1000| 1000|       0|
  37| 11111|1110111111010000|  0  |      0|   0   | 1000| 1000|       0|
  38| 11111|1110001100000001|  0  |      0|   0   | 1000| 1001|       1|
  39| 11111|1110001100000010|  0  |      0|   0   | 1000| 1000|       1|
  40| 11111|1110001100000011|  0  |      0|   0   | 1000| 1001|       1|
  41| 11111|1110001100000100|  0  |      0|   0   | 1000| 1000|       1|
  42| 11111|1110001100000101|  0  |      0|   0   | 1000| 1001|       1|
  43| 11111|1110001100000110|  0  |      0|   0   | 1000| 1000|       1|
  44| 11111|1110001100000111|  0  |      0|   0   | 1000| 1001|       1|
  45| 11111|1110001100000111|  1  |      0|   0   | 1000|    0|       1|
  46| 11111|0111111111111111|  0  |      0|   0   | 1000| 1000|       1|
